"","photo_id","date_pic","cam_model","cam_id","station_id","species_id","num","num_individ_pics"
"1",1,"29/7/21","Browning","7196-12","CTWABD01B","UNKNOWN",1,1
"2",2,"30/7/21","Browning","7196-12","CTWABD01B","UNKNOWN",1,1
"3",3,"30/7/21","Browning","7196-12","CTWABD01B","Coyote",1,1
"4",4,"4/8/21","Browning","7196-12","CTWABD01B","squirrel",1,1
"5",5,"6/8/21","Browning","7196-12","CTWABD01B","Coyote",1,1
"6",6,"6/8/21","Browning","7196-12","CTWABD01B","squirrel",1,1
"7",7,"7/8/21","Browning","7196-12","CTWABD01B","Coyote",1,1
"8",8,"14/8/21","Browning","7196-12","CTWABD01B","BB",1,1
"9",9,"15/8/21","Browning","7196-12","CTWABD01B","Grouse",1,1
"10",10,"16/8/21","Browning","7196-12","CTWABD01B","Lagomorph",1,1
"11",11,"16/8/21","Browning","7196-12","CTWABD01B","Grouse",1,1
"12",12,"16/8/21","Browning","7196-12","CTWABD01B","BB",1,1
"13",13,"16/8/21","Browning","7196-12","CTWABD01B","BB",1,1
"14",14,"18/8/21","Browning","7196-12","CTWABD01B","Deer",1,1
"15",15,"18/8/21","Browning","7196-12","CTWABD01B","BB",1,1
"16",16,"20/8/21","Browning","7196-12","CTWABD01B","Lagomorph",1,1
"17",17,"21/8/21","Browning","7196-12","CTWABD01B","BB",1,1
"18",18,"21/8/21","Browning","7196-12","CTWABD01B","Moose",1,1
"19",19,"22/8/21","Browning","7196-12","CTWABD01B","BB",1,1
"20",20,"23/8/21","Browning","7196-12","CTWABD01B","Coyote",1,1
"21",21,"24/8/21","Browning","7196-12","CTWABD01B","Mule Deer ",2,2
"22",22,"28/8/21","Browning","7196-12","CTWABD01B","Coyote",1,1
"23",23,"29/8/21","Browning","7196-12","CTWABD01B","Coyote",1,1
"24",24,"30/8/21","Browning","7196-12","CTWABD01B","Mule Deer ",1,1
"25",25,"30/8/21","Browning","7196-12","CTWABD01B","Ruffed Grouse",1,1
"26",26,"30/8/21","Browning","7196-12","CTWABD01B","Ruffed Grouse",1,1
"27",27,"30/8/21","Browning","7196-12","CTWABD01B","Ruffed Grouse",1,1
"28",28,"30/8/21","Browning","7196-12","CTWABD01B","Ruffed Grouse",1,1
"29",29,"30/8/21","Browning","7196-12","CTWABD01B","Ruffed Grouse",1,1
"30",30,"30/8/21","Browning","7196-12","CTWABD01B","Lagomorph",1,1
"31",31,"31/8/21","Browning","7196-12","CTWABD01B","Mountain Lion",1,1
"32",32,"31/8/21","Browning","7196-12","CTWABD01B","Coyote",1,1
"33",33,"1/9/21","Browning","7196-12","CTWABD01B","Coyote",1,1
"34",34,"2/9/21","Browning","7196-12","CTWABD01B","Coyote",1,1
"35",35,"3/9/21","Browning","7196-12","CTWABD01B","Moose",1,1
"36",36,"4/9/21","Browning","7196-12","CTWABD01B","Mountain Lion",1,1
"37",37,"5/9/21","Browning","7196-12","CTWABD01B","Skunk",1,1
"38",38,"5/9/21","Browning","7196-12","CTWABD01B","Lagomorph",1,1
"39",39,"6/9/21","Browning","7196-12","CTWABD01B","UNKNOWN",1,1
"40",40,"9/9/21","Browning","7196-12","CTWABD01B","Lagomorph",1,1
"41",41,"9/9/21","Browning","7196-12","CTWABD01B","Squirrel",1,1
"42",42,"13/9/21","Browning","7196-12","CTWABD01B","UNKNOWN",1,1
"43",43,"14/9/21","Browning","7196-12","CTWABD01B","Coyote",1,1
"44",44,"15/9/21","Browning","7196-12","CTWABD01B","Ruffed Grouse",1,1
"45",45,"17/9/21","Browning","7196-12","CTWABD01B","Human",1,1
